VERS;TÝP;TARÝH;KULLANICI;NOT
v1.0.53;Bilgi;18.10.2017 1635;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1645;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1655;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1705;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1715;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1829;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1829;Salih;15 sipariþ taþýndý
v1.0.53;Bilgi;18.10.2017 1839;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1849;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1859;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1910;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1920;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;19.10.2017 0851;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;19.10.2017 0901;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;19.10.2017 0911;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;19.10.2017 0921;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;19.10.2017 0932;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;19.10.2017 0942;Salih;çalýþtýrma baþladý
v2.0.7;Bilgi;19.10.2017 1144;Salih;çalýþtýrma baþladý
v2.0.7;Bilgi;19.10.2017 1144;Salih;1 sipariþ taþýndý
v2.0.7;Bilgi;19.10.2017 1147;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1151;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1151;Salih;15 sipariþ taþýndý
v2.0.8;Bilgi;19.10.2017 1201;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1211;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1221;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1221;Salih;1 sipariþ taþýndý
v2.0.8;Bilgi;19.10.2017 1231;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1242;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1342;Salih;5 sipariþ taþýndý
v2.0.8;Bilgi;19.10.2017 1353;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1403;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1403;Salih;1 sipariþ taþýndý
v2.0.8;Bilgi;19.10.2017 1413;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1420;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1420;Salih;1 sipariþ taþýndý
v2.0.8;Bilgi;19.10.2017 1430;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1441;Salih;çalýþtýrma baþladý
v2.0.8;Bilgi;19.10.2017 1441;Salih;1 sipariþ taþýndý
v2.0.10;Bilgi;19.10.2017 1640;Salih;çalýþtýrma baþladý
v2.0.10;Bilgi;19.10.2017 1641;Salih;çalýþtýrma baþladý
v2.0.10;Bilgi;19.10.2017 1641;Salih;1 sipariþ taþýndý
v2.0.10;Bilgi;19.10.2017 1651;Salih;çalýþtýrma baþladý
v2.0.10;Bilgi;19.10.2017 1701;Salih;çalýþtýrma baþladý
v2.0.10;Bilgi;19.10.2017 1711;Salih;çalýþtýrma baþladý
v2.0.11;Bilgi;19.10.2017 1810;Salih;çalýþtýrma baþladý
v2.0.11;Bilgi;19.10.2017 1810;Salih;2 sipariþ taþýndý
v2.0.12;Bilgi;19.10.2017 1823;Salih;çalýþtýrma baþladý
v2.0.12;Bilgi;19.10.2017 1823;Salih;1 sipariþ taþýndý
v2.0.13;Bilgi;19.10.2017 1830;Salih;çalýþtýrma baþladý
v2.0.13;Bilgi;19.10.2017 1834;Salih;çalýþtýrma baþladý
v2.0.13;Bilgi;19.10.2017 1925;Salih;1 sipariþ taþýndý
v2.0.13;Bilgi;19.10.2017 1935;Salih;çalýþtýrma baþladý
v2.0.13;Bilgi;19.10.2017 1946;Salih;çalýþtýrma baþladý
v2.0.13;Bilgi;19.10.2017 1946;Salih;1 sipariþ taþýndý
v2.0.13;Bilgi;19.10.2017 1956;Salih;çalýþtýrma baþladý
v2.0.13;Bilgi;19.10.2017 2107;Salih;çalýþtýrma baþladý
v2.0.13;Bilgi;19.10.2017 2107;Salih;1 sipariþ taþýndý
v2.0.13;Bilgi;19.10.2017 2117;Salih;çalýþtýrma baþladý
v2.0.13;Bilgi;19.10.2017 2238;Salih;çalýþtýrma baþladý
v2.0.15;Bilgi;19.10.2017 2248;Salih;çalýþtýrma baþladý
v2.0.15;Bilgi;19.10.2017 2250;Salih;çalýþtýrma baþladý
v2.0.16;Bilgi;19.10.2017 2252;Salih;çalýþtýrma baþladý
v2.0.17;Bilgi;19.10.2017 2254;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;19.10.2017 2255;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;19.10.2017 2255;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;19.10.2017 2255;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;19.10.2017 2305;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;19.10.2017 2315;Salih;çalýþtýrma baþladý
v2.0.18;Bilgi;19.10.2017 2326;Salih;çalýþtýrma baþladý
